name,viaf,wiki,pages
Dorpius Martinus,17233237,Q2050711,"3,151"
Dos Santos Valente A.L.,261550160,Q9619544,123
Douratus Constantinus,,,319
"Dousa Janus, Sr.",,Q1229819,"107,149,152,159,243"
"Dousa Janus, Jr.",,Q21545919,152
"Dragisić: see Salviatis, G. de",,,
Drexelius Jeremias,4921018,Q67095,191
Dubiecki Matthaeus,164845706,Q104814899,250
Dubois J.B.P.,,,140
Dubnavius Janus,,,"230,231"
Dudith Andreas,,,"215,217"
Dufresnoy Ch.A.,,Q1063557,138
Dugonicius Andreas,,,"214,216"
"Duyse, Prudens Van",,,156
Eberle Josef,100899683,Q98789,"33,186,247,261"
Eccius dedolatus,,,188
Eckard,,,138
Eder Franciscos Xaverius,120726739,Q953634,"235,302,306"
Egan Edward M.,89672403,Q712045,293
"Eguiara y Eguren, Johannes Jos. de",,,"296,300"
Eichenseer Caelestis,,Q124026,29
Ekius Nicolaus,290183417,Q15992029,259
Eleazar Indianus,,,289
Elezovitch Fr.,,,91
Elgers Juris,,,261
Eminescu Mihai,,,226
Engelstoft Laurids,,,266
Ennius,,Q47130,"8,55"
Ens Gaspar,,Q18945332,116
"Enzinas, Franciscus de",50672617,Q707429,106
Eobanus Hessus,71412338,Q532384,"48,181,182,207"
Ephemerides latinae,,,216
Epistolae Obscurorum Virorum,,,"32,42,189"
Erasmus Desiderius,,Q43499,"5,8,I1,15,16,20,21,22,31,32,36,39,41,42,57,60,70,93,104,106,109,115,118,125,128,130,131,132,133,135,149,150,151,158,165,168,I70,172,177,178,190,191,206,210,219,228,234,258,266,267,274,278"
"Espen, Sigerus van",,Q184457,155
Espencaeus Claudius,27148970,Q5128784,136
Espinosa Polit Aurelius,,,301
Esseiva Petrus,,,"208,212"
Estancel Valentino,84111089,Q7910813,308
Eucaedius Augustinus,,,260
Eucharius Eligius,,,151
Euler Leonardus,71412338,Q532384,"27,209,210,255"
Euripides,,Q48305,"8,150,168,187,243,312"
"Eyb, Albertus ab",,,180
Eyndius Jacobus,,,"152,154"
Faber Franciscus,,,199
Faber Stapulensis: see Lefèvre d'Etaples.,,,
Fabini Johannes Gottlieb,64352466,Q995330,226
Fabri Johannes,,,254
Fabricius Arnaldus,,,"126,132"
Fabricius Georgius,,Q71606,"10,200"
Fabricius Paulus,,,232
Facius Bartholomaeus,,Q809500,104
Faernus Gabriel,88354857,Q3094064,61
Fagellus Villaticus Simon,10191036,Q112369190,230
"Faggis, Angelus de",,,101
Fahlcrantz C.A.,,,279
Falconerius Octavius,,,277
Fallan Giovanni,,,290
Falster Christianus,,,"267,271"
Fara Johannes Franc.,,,67
Fara(d) or Hara(d) Martinus,,,319
"Fana, Thomas de",,,120
Farrugia Aloysius,,,102
Farrugia Nicolaus,,Q112539084,103
Febronius Johannes,,Q426954,192
Fekete Demetrius,,,226
Felmer M.,,,225
Fénélon François,61539997,Q310002,"107,140,291"
Ferich Georgius,3296751,Q8079902,100
Fernandez Johannes,,,121
"Ferrariis Galateus, Antonius de",102733,Q3619505,76
Ferrarius Joannes Baptista,,Q23894925,63
Ferretus Vicentinus,,,"54,55"
Ferrius Hieronymus,,,47
"Fiano, Franciscus de",,,119
Fichet Gulielmus,76350813,Q331154,"128,131,147"
Fichte Johann G.,,Q102585,127
Ficinus Marsilius,,,"14,60"
Filelfus: see Philelphus.,,,
Filiczki de Filifalva Johannes,,,234
Filippo da Rimini,,Q97703958,77
Filstich Johannes,37274418,Q12731397,225
Finckius Thomas,,,268
"Flacius Illyricus, Mathias",,Q435311,"94,190,203"
Flaminius Marcus Antonius,,Q351485,"61,152"
Flavius J.: see Didacus.,,,
Flayderus Fridericus H.,15563784,Q1459661,199
Flemingus Johannes,,,154
Flemingus Paulus,,Q77418,183
Flemming Robertus,,Q7344391,165
"Florian, J.P. de",,,137
Floriantschitsch Johannes Steph.,,,98
Florius Franciscus,,,131
Florus,,,"108,245"
Fludd Robert,,Q453697,166
Folengo Teofilo,,,60
Follisius (Foullis) Jacobus,,,"130,168"
"Fonseca, Petrus de",68979762,Q1365381,122
Fontius Bartholomaeus,,,4
Forbes John,,,169
Forcellini Aegidius,,Q550353,67
Forestus Johannes,,,19
Forgacz Michael,,,30
Formosa Giovanni,446159474324227662702,,102
Formosa Salvator,,,102
Fornelius Lars,,Q5736376,277
Forskai Petrus,,,280
"Fortis (Sterck) a Ringelberg, Joachim",,Q720419,130
Foscolo Ugo,,Q166234,64
Foster Reginald,316559644,Q1218992,293
Foullis: see Follisius.,,,
Fox Morcillus Sebastianus,89656569,Q7442644,"106,111,112"
Foxe Johannes,32005978,Q380961,166
